Column,Names,Address,Shares,Percentage
1,STANBIC NOMINEES LTD A/C NR00901,"P.O. BOX 30550 - 00100
NAIROBI","296,188,531",74.92%
2,"STANDARD CHARTERED NOMINEES LTD NON
RESD A/C KE11663","P.O. BOX 40984 - 00100
NAIROBI","13,484,381",3.41%
3,"STANDARD CHARTERED NOMINEES LTD NON
RESD A/C KE9053","P.O. BOX 40984 - 00100
NAIROBI","5,680,003",1.44%
4,"STANDARD CHARTERED NOMINEES LTD NON
RESD A/C 9866","P.O. BOX 40984 - 00100
NAIROBI","4,693,622",1.19%
5,"STANDARD CHARTERED NOMINEES LTD NON
RESD A/C KE4667","P.O. BOX 40984 - 00100
NAIROBI","4,652,713",1.18%
6,"THE PERMANENT SECRETARY TO THE
TREASURY OF KENYA","(ON BEHALF OF THE GOVT.
OF KENYA - TREASURY
BUILDING KENYA)","4,342,548",1.10%
7,"STANDARD CHARTERED NOMINEES RESD A/C
KE11401","P.O. BOX 40984 - 00100
NAIROBI","3,089,651",0.78%
8,"ICEA LION LIFE ASSURANCE COMPANY
LIMITED-POOLED","P.O. BOX 46143 - 00100 GPO
NAIROBI","2,646,389",0.67%
9,"KENYA COMMERCIAL BANK NOMINEES
LIMITED A/C 915B","P.O. BOX 30664 - 00100
NAIROBI","2,137,651",0.54%
10,KINGSWAY NOMINEES LIMITED,"P.O. BOX 42841 - 00100
NAIROBI","1,987,300",0.50%
11,OTHERS,,"56,418,819",14.27%
,,,"395,321,638",100.00%
