Name,Position,"Annual
retainer","Sitting
allowances","Other
allowances","Salaries
& Other
benefits",Total,"No. of
meetings
attended"
,Chairman,"1,400,000
2,600,000
1,200,000
350,000
1,200,000
1,200,000
1,200,000
1,200,000
-
1,850,000
-
-","2,250,000","3,780,000
-
-
-
-
-
-
-
-
-
-
-",-,"7,430,000",19/19
,Non-Executive Director,,"2,212,500",,-,"4,812,500",16/23
,Non-Executive Director,,"375,000",,-,"1,575,000",5/18
,Non-Executive Director,,"650,000",,-,"1,000,000",8/8
,Non-Executive Director,,"2,550,000",,-,"3,750,000",20/20
,Non-Executive Director,,"1,600,000",,-,"2,800,000",11/21
,Non-Executive Director,,"2,025,000",,-,"3,225,000",14/15
,Non-Executive Director,,"1,762,500",,-,"2,962,500",11/14
,Non-Executive Director,,-,,-,-,9/11
,Non-Executive Director,,"2,530,000",,-,"4,380,000",8/8
,Group Managing Director,,-,,"85,150,663","85,150,663",22/23
,Non-Executive Director,,-,,"42,700,464","42,700,464",13/15
Total,,"12,200,000","15,955,000","3,780,000","127,851,127","159,786,127",
