Name,Sep-24,Nov-24,Jan-25,May-25
John Karani,√,√,√,√
Baiju Shah,√,√,√,√
John Mwara,√,√,√,√
Erastus Njoroge,√,√,√,√
George Karanja,x,√,√,x
Terry Anne Muthoni,x,x,√,√
