2023,Column,Column,Column
Chairman,Member,Chairman,
-,3 007 100,-,3 007 100
1 355 200,677 600,1 355 200,677 600
935 100,467 600,935 100,467 600
935 100,467 600,935 100,467 600
935 100,467 600,935 100,467 600
