Column,Year ended 31 December 2020,Column,Column,Column
,Name,"Salary
Kes.","Meeting attendance fees
Kes.","Total
Kes."
1.,"Peter Nduati - Chairperson
Up to November 2020",-,"450,000.00","450,000.00"
2.,Mbugua Gecaga,-,"300,000.00","300,000.00"
3.,Fridah Owinga,-,"100,000.00","100,000.00"
4.,Luke Kinoti,-,"250,000.00","250,000.00"
5.,Kendi Ogamba,-,"300,000.00","300,000.00"
6.,Peter Mungai,-,"300,000.00","300,000.00"
7.,Dan Awendo,"21,083,628.00",-,"21,083,628.00"
,TOTAL,"21,083,628.00","1,850,000.00","22,933,628.00"
