Column,Year ended 31 December 2021,Column,Column,Column
,Name,"Salary
Kes.","Meeting attendance fees
Kes.","Total
Kes."
1.,Peter Mungai-Chairperson,-,"450,000.00","450,000.00"
2.,Mbugua Gecaga,-,"350,000.00","350,000.00"
3.,Fridah Owinga,-,"175,000.00","175,000.00"
4.,Luke Kinoti,-,"400,000.00","400,000.00"
5.,Bertha Mvati,-,"300,000.00","300,000.00"
6.,Nelson Ashitiva,-,"75,000.00","75,000.00"
7.,Dan Awendo,"14,952,306.18",-,"14,952,306.18"
8.,Jane Nyokabi,"1,020,000.00",,"1,020,000.00"
,TOTAL,"14,952,306.18","1,750,000.00","18,742,306.18"
